ID_CLIENTE,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn,r_income,ed_mejorada
1,Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,3.7,0,0,7.5,0,37.45,0,0,110,0,No,No,No,No,No,No,Yes,No,No,Basic service,Yes,HighZone 2,4. College degree
2,Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Total service,Yes,High,5. Post-undergraduate degree
3,Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,Plus service,No,HighZone 2,1. Did not complete high school
4,Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Total service,Yes,High,5. Post-undergraduate degree
5,Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,Plus service,No,High,1. Did not complete high school
6,Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9.45,0,0,0,0,288.8,0,0,0,0,No,No,No,No,No,No,No,No,No,Basic service,Yes,Medium,2. High school degree
7,Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6.3,0,0,0,0,157.05,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,Plus service,No,Medium,1. Did not complete high school
8,Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,No,No,No,No,Yes,Yes,No,No,No,Plus service,No,High,2. High school degree
9,Zone 3,45,22, ,2,19,High school degree,4,No,Female,5,No,No,Yes,No,10.9,0,0,8.75,0,504.5,0,0,415,0,Yes,No,No,Yes,No,Yes,No,No,Yes,E-service,Yes,Low,2. High school degree
10,Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total service,No,High,2. High school degree
11,Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Plus service,No,Very High,4. College degree
12,Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0,0,16.5,0,1659.7,0,0,1155,0,Yes,No,No,No,No,No,No,No,No,E-service,No,High,1. Did not complete high school
13,Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,4.85,0,26.15,0,0,17.25,0,110.1,0,0,No,No,Yes,Yes,No,No,No,No,Yes,Basic service,Yes,High,4. College degree
14,Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7.1,22,0,23.75,0,47.45,166.1,0,145,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Plus service,No,High,2. High school degree
15,Zone 1,41,38,,8,37,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0,0,41.75,0,308.7,0,0,1650,0,No,No,No,No,No,No,No,No,No,Basic service,No,Medium,2. High school degree
16,Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.6,46.25,46.7,0,61.05,825.35,2624.25,2591,0,3348.85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total service,Yes,High,4. College degree
17,Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4.4,0,0,0,0,36.8,0,0,0,0,No,No,No,No,No,No,No,No,No,Basic service,No,Low,1. Did not complete high school
18,Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,Yes,No,No,Yes,No,No,No,No,No,E-service,No,High,5. Post-undergraduate degree
19,Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.3,30,0,946.9,1767.6,1789,1795,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Plus service,No,Very High,2. High school degree
20,Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.5,0,0,0,230.8,614.3,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,Plus service,No,Medium,2. High school degree
21,Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0,0,0,0,1.05,0,0,0,0,No,No,No,No,No,No,No,No,No,Basic service,No,Low,1. Did not complete high school
22,Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Total service,Yes,High,4. College degree
23,Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Yes,No,Yes,Yes,No,Yes,No,No,No,E-service,Yes,Low,3. Some college
24,Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.7,0,0,22,0,1391.05,0,0,1505,0,No,No,No,No,No,No,Yes,No,No,Basic service,No,High,1. Did not complete high school
25,Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Total service,No,High,5. Post-undergraduate degree
26,Zone 3,55,48,,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0,0,27.25,0,810.45,0,0,1390,0,No,No,No,No,No,No,No,No,No,Basic service,No,High,1. Did not complete high school
27,Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.5,19.75,0,18,0,153.75,273.75,0,215,0,No,No,No,No,Yes,Yes,Yes,Yes,No,Plus service,No,Medium,1. Did not complete high school
28,Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,No,No,No,No,No,Yes,Yes,Yes,No,Plus service,No,Medium,2. High school degree
29,Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Total service,No,Medium,2. High school degree
30,Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9.1,0,0,0,0,234.95,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,No,Plus service,No,Medium,1. Did not complete high school
